gene	tissue	ppn_female	ppn_male	ptr_female	ptr_male	ppn_delta	ptr_delta	species_diff
SURF6	kidney	452.0	439	729.0	651.0	13.0	78.0	199.0
SURF6	liver	189.0	165	627.0	335.0	24.0	292.0	146.0
SV2B	heart	37.0	51	1740.0	5575.0	14.0	3835.0	1689.0
SVIP	heart	111.0	38	168.0	192.0	73.0	24.0	57.0
SVIP	kidney	192.0	234	338.0	510.0	42.0	172.0	104.0
SVIP	liver	194.0	129	90.0	50.0	65.0	40.0	39.0
SWI5	liver	283.0	222	178.0	117.0	61.0	61.0	44.0
SYK	cerebellum	51.0	72	370.0	104.0	21.0	266.0	32.0
SYK	heart	101.0	97	203.0	145.0	4.0	58.0	44.0
SYK	kidney	702.0	533	918.0	841.0	169.0	77.0	139.0
SYNE3	liver	69.0	61	162.0	146.0	8.0	16.0	77.0
TACR1	kidney	2.0	2	3.0	5.0	0.0	2.0	1.0
TAF4B	kidney	84.0	84	93.0	210.0	0.0	117.0	9.0
TBC1D13	liver	355.0	264	627.0	442.0	91.0	185.0	87.0
TCHH	cerebellum	4.0	5	33.0	11.0	1.0	22.0	6.0
TCHH	kidney	5.0	5	3.0	4.0	0.0	1.0	1.0
TDRKH	heart	27.0	4	46.0	31.0	23.0	15.0	4.0
TDRKH	kidney	47.0	35	83.0	52.0	12.0	31.0	5.0
TEX35	cerebellum	31.0	45	12.0	18.0	14.0	6.0	13.0
TFCP2	cerebellum	745.0	935	707.0	461.0	190.0	246.0	38.0
THEM5	kidney	9.0	9	60.0	35.0	0.0	25.0	26.0
TIGD1	heart	18.0	32	69.0	37.0	14.0	32.0	5.0
TIGD1	kidney	102.0	85	145.0	116.0	17.0	29.0	14.0
TMEM117	liver	159.0	77	70.0	50.0	82.0	20.0	7.0
TMEM50B	heart	402.0	401	529.0	564.0	1.0	35.0	127.0
TMX3	cerebellum	727.0	845	701.0	407.0	118.0	294.0	26.0
TNKS2	kidney	639.0	587	1169.0	1486.0	52.0	317.0	530.0
TRAM1L1	kidney	16.0	17	58.0	39.0	1.0	19.0	22.0
TRIM32	kidney	230.0	181	234.0	375.0	49.0	141.0	4.0
TRUB2	kidney	331.0	393	418.0	864.0	62.0	446.0	25.0
TSC1	heart	660.0	460	731.0	1059.0	200.0	328.0	71.0
TSC1	kidney	1171.0	786	1405.0	1956.0	385.0	551.0	234.0
TTYH1	cerebellum	2303.0	2501	2015.0	787.0	198.0	1228.0	288.0
TTYH1	heart	24.0	17	7.0	6.0	7.0	1.0	10.0
TXNDC16	cerebellum	398.0	481	315.0	171.0	83.0	144.0	83.0
TXNDC16	liver	69.0	48	32.0	42.0	21.0	10.0	6.0
UMPS	cerebellum	382.0	593	345.0	297.0	211.0	48.0	37.0
UMPS	kidney	280.0	303	359.0	559.0	23.0	200.0	56.0
UNC5D	kidney	148.0	59	240.0	217.0	89.0	23.0	69.0
UQCRFS1	kidney	570.0	688	689.0	1306.0	118.0	617.0	1.0
UQCRFS1	liver	440.0	275	258.0	204.0	165.0	54.0	17.0
UTP23	heart	80.0	83	136.0	124.0	3.0	12.0	41.0
UTP23	kidney	86.0	79	121.0	175.0	7.0	54.0	35.0
VEGFD	liver	112.0	43	12.0	9.0	69.0	3.0	31.0
WDR34	heart	360.0	269	255.0	249.0	91.0	6.0	14.0
WDR34	liver	898.0	759	439.0	658.0	139.0	219.0	101.0
ZBTB1	cerebellum	189.0	308	135.0	124.0	119.0	11.0	54.0
ZBTB1	heart	266.0	248	292.0	302.0	18.0	10.0	26.0
ZBTB1	liver	379.0	289	240.0	120.0	90.0	120.0	49.0
ZBTB25	heart	90.0	45	159.0	110.0	45.0	49.0	20.0
ZBTB25	kidney	88.0	56	94.0	119.0	32.0	25.0	6.0
ZBTB25	liver	49.0	30	72.0	55.0	19.0	17.0	6.0
ZDHHC12	kidney	602.0	341	1006.0	642.0	261.0	364.0	40.0
ZER1	kidney	2029.0	1198	2316.0	2144.0	831.0	172.0	115.0
ZNF148	cerebellum	956.0	1230	891.0	645.0	274.0	246.0	65.0
ZNF148	heart	462.0	314	641.0	820.0	148.0	179.0	179.0
ZNF148	kidney	391.0	420	586.0	990.0	29.0	404.0	166.0
ZNF385D	heart	29.0	25	33.0	61.0	4.0	28.0	4.0
ZNF622	kidney	352.0	335	764.0	587.0	17.0	177.0	235.0
ZNF804A	cerebellum	119.0	89	50.0	65.0	30.0	15.0	24.0
ZNF804A	kidney	3.0	1	6.0	5.0	2.0	1.0	2.0
ZNF804B	cerebellum	47.0	78	22.0	11.0	31.0	11.0	25.0
ZRSR2	heart	318.0	205	329.0	326.0	113.0	3.0	8.0
